Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2022,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,COFFEE,"COFFEE - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,14,
SURVEY,2022,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,PECANS,"PECANS - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.79,
SURVEY,2021,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,ALMONDS,"ALMONDS - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.76,
SURVEY,2021,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,APPLES,"APPLES - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.317,
SURVEY,2021,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,APRICOTS,"APRICOTS - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,904,
SURVEY,2021,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,AVOCADOS,"AVOCADOS - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,"2,290",
SURVEY,2021,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,COFFEE,"COFFEE - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,12.8,
SURVEY,2021,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CRANBERRIES,"CRANBERRIES - PRICE RECEIVED, MEASURED IN $ / BARREL",TOTAL,NOT SPECIFIED,39,
SURVEY,2021,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,DATES,"DATES - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,"3,880",
SURVEY,2021,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,GRAPES,"GRAPES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,"1,300",
SURVEY,2021,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HAZELNUTS,"HAZELNUTS - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,"2,160",
SURVEY,2021,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,KIWIFRUIT,"KIWIFRUIT - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,"2,440",
SURVEY,2021,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MACADAMIAS,"MACADAMIAS - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.23,
SURVEY,2021,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,NECTARINES,"NECTARINES - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,"1,160",
