Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2022,YEAR,,REGION : MULTI-STATE,,,,,,,,REGION 3 (AR FL LA MO MS NM OK TX),0,,BLUEBERRIES,"BLUEBERRIES, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS",TOTAL,NOT SPECIFIED,"4,200",33.7
SURVEY,2022,YEAR,,REGION : MULTI-STATE,,,,,,,,REGION 3 (AR FL LA MO MS NM OK TX),0,,CROP TOTALS,"CROP TOTALS, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS",TOTAL,NOT SPECIFIED,"55,100",
SURVEY,2022,YEAR,,REGION : MULTI-STATE,,,,,,,,REGION 3 (AR FL LA MO MS NM OK TX),0,,"CROPS, OTHER","CROPS, OTHER, (NOT LISTED), HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS",TOTAL,NOT SPECIFIED,"32,700",
SURVEY,2022,YEAR,,REGION : MULTI-STATE,,,,,,,,REGION 3 (AR FL LA MO MS NM OK TX),0,,MELONS,"MELONS, WATERMELON, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS",TOTAL,NOT SPECIFIED,"18,200",20.5
SURVEY,2017,YEAR,,REGION : MULTI-STATE,,,,,,,,REGION 3 (AR FL LA MO MS NM OK TX),0,,BLUEBERRIES,"BLUEBERRIES, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS",TOTAL,NOT SPECIFIED,"4,300",22.79
SURVEY,2017,YEAR,,REGION : MULTI-STATE,,,,,,,,REGION 3 (AR FL LA MO MS NM OK TX),0,,CROP TOTALS,"CROP TOTALS, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS",TOTAL,NOT SPECIFIED,"50,500",
SURVEY,2017,YEAR,,REGION : MULTI-STATE,,,,,,,,REGION 3 (AR FL LA MO MS NM OK TX),0,,"CROPS, OTHER","CROPS, OTHER, (NOT LISTED), HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS",TOTAL,NOT SPECIFIED,"5,400",
SURVEY,2017,YEAR,,REGION : MULTI-STATE,,,,,,,,REGION 3 (AR FL LA MO MS NM OK TX),0,,CUCUMBERS,"CUCUMBERS, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS",TOTAL,NOT SPECIFIED,"4,750",44.09
SURVEY,2017,YEAR,,REGION : MULTI-STATE,,,,,,,,REGION 3 (AR FL LA MO MS NM OK TX),0,,MELONS,"MELONS, CANTALOUP, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS",TOTAL,NOT SPECIFIED,"3,300",29.23
SURVEY,2017,YEAR,,REGION : MULTI-STATE,,,,,,,,REGION 3 (AR FL LA MO MS NM OK TX),0,,MELONS,"MELONS, WATERMELON, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS",TOTAL,NOT SPECIFIED,"22,600",17.3
