"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2022","MARKETING YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","PECANS","PECANS - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","2.59",""
"SURVEY","2022","MARKETING YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","PECANS","PECANS - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","1.64",""
"SURVEY","2022","MARKETING YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COFFEE","COFFEE - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","14",""
"SURVEY","2022","MARKETING YEAR","","STATE","NEW MEXICO","35","","","","","","","00000000","","PECANS","PECANS - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","1.68",""
"SURVEY","2022","MARKETING YEAR","","STATE","OKLAHOMA","40","","","","","","","00000000","","PECANS","PECANS - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","1.4",""
"SURVEY","2022","MARKETING YEAR","","STATE","TEXAS","48","","","","","","","00000000","","PECANS","PECANS - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","1.87",""
"SURVEY","2021","MARKETING YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","DATES","DATES - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","6,350",""
"SURVEY","2021","MARKETING YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","PECANS","PECANS - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","2.27",""
"SURVEY","2021","MARKETING YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","ALMONDS","ALMONDS - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","1.76",""
"SURVEY","2021","MARKETING YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","APPLES","APPLES - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","0.241",""
"SURVEY","2021","MARKETING YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","APRICOTS","APRICOTS - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","907",""
"SURVEY","2021","MARKETING YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","2,430",""
"SURVEY","2021","MARKETING YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DATES","DATES - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","3,070",""
"SURVEY","2021","MARKETING YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","GRAPES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","1,300",""
"SURVEY","2021","MARKETING YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","KIWIFRUIT","KIWIFRUIT - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","2,440",""
"SURVEY","2021","MARKETING YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","NECTARINES","NECTARINES - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","1,160",""
"SURVEY","2021","MARKETING YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","OLIVES","OLIVES - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","851",""
"SURVEY","2021","MARKETING YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","PEACHES","PEACHES - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","757",""
"SURVEY","2021","MARKETING YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","PEARS","PEARS - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","565",""
"SURVEY","2021","MARKETING YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","PISTACHIOS","PISTACHIOS - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","2.52",""
"SURVEY","2021","MARKETING YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RASPBERRIES","RASPBERRIES - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","3.23",""
"SURVEY","2021","MARKETING YEAR","","STATE","COLORADO","08","","","","","","","00000000","","PEACHES","PEACHES - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","2,170",""
"SURVEY","2021","MARKETING YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","939",""
"SURVEY","2021","MARKETING YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","PEACHES","PEACHES - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","1,240",""
