"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2022","YEAR","","REGION : MULTI-STATE","","","","","","","","REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI)","00000000","","APPLES","APPLES, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS","TOTAL","NOT SPECIFIED","68,400","10.3"
"SURVEY","2022","YEAR","","REGION : MULTI-STATE","","","","","","","","REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI)","00000000","","APPLES","APPLES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","43.8",""
"SURVEY","2022","YEAR","","REGION : MULTI-STATE","","","","","","","","REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI)","00000000","","APPLES","APPLES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / COLONY","TOTAL","NOT SPECIFIED","91.2",""
"SURVEY","2022","YEAR","","REGION : MULTI-STATE","","","","","","","","REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI)","00000000","","APPLES","APPLES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","39,000","8.6"
"SURVEY","2022","YEAR","","REGION : MULTI-STATE","","","","","","","","REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI)","00000000","","BLUEBERRIES","BLUEBERRIES, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS","TOTAL","NOT SPECIFIED","45,900","30.9"
"SURVEY","2022","YEAR","","REGION : MULTI-STATE","","","","","","","","REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI)","00000000","","BLUEBERRIES","BLUEBERRIES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","179",""
"SURVEY","2022","YEAR","","REGION : MULTI-STATE","","","","","","","","REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI)","00000000","","BLUEBERRIES","BLUEBERRIES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / COLONY","TOTAL","NOT SPECIFIED","98.4",""
"SURVEY","2022","YEAR","","REGION : MULTI-STATE","","","","","","","","REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI)","00000000","","BLUEBERRIES","BLUEBERRIES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","87,000","44.1"
"SURVEY","2022","YEAR","","REGION : MULTI-STATE","","","","","","","","REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI)","00000000","","CHERRIES","CHERRIES, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS","TOTAL","NOT SPECIFIED","28,000","18.8"
"SURVEY","2022","YEAR","","REGION : MULTI-STATE","","","","","","","","REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI)","00000000","","CHERRIES","CHERRIES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","34.5",""
"SURVEY","2022","YEAR","","REGION : MULTI-STATE","","","","","","","","REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI)","00000000","","CHERRIES","CHERRIES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / COLONY","TOTAL","NOT SPECIFIED","78.9",""
"SURVEY","2022","YEAR","","REGION : MULTI-STATE","","","","","","","","REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI)","00000000","","CHERRIES","CHERRIES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","16,500","39.1"
"SURVEY","2022","YEAR","","REGION : MULTI-STATE","","","","","","","","REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI)","00000000","","CRANBERRIES","CRANBERRIES, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS","TOTAL","NOT SPECIFIED","27,700","17.5"
"SURVEY","2022","YEAR","","REGION : MULTI-STATE","","","","","","","","REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI)","00000000","","CRANBERRIES","CRANBERRIES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","185",""
