Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2022,YEAR,,REGION : MULTI-STATE,,,,,,,,REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI),0,,APPLES,"APPLES, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS",TOTAL,NOT SPECIFIED,"68,400",10.3
SURVEY,2022,YEAR,,REGION : MULTI-STATE,,,,,,,,REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI),0,,BLUEBERRIES,"BLUEBERRIES, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS",TOTAL,NOT SPECIFIED,"45,900",30.9
SURVEY,2022,YEAR,,REGION : MULTI-STATE,,,,,,,,REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI),0,,CHERRIES,"CHERRIES, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS",TOTAL,NOT SPECIFIED,"28,000",18.8
SURVEY,2022,YEAR,,REGION : MULTI-STATE,,,,,,,,REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI),0,,CRANBERRIES,"CRANBERRIES, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS",TOTAL,NOT SPECIFIED,"27,700",17.5
SURVEY,2022,YEAR,,REGION : MULTI-STATE,,,,,,,,REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI),0,,CROP TOTALS,"CROP TOTALS, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS",TOTAL,NOT SPECIFIED,"203,400",
SURVEY,2022,YEAR,,REGION : MULTI-STATE,,,,,,,,REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI),0,,"CROPS, OTHER","CROPS, OTHER, (NOT LISTED), HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS",TOTAL,NOT SPECIFIED,"8,500",
SURVEY,2022,YEAR,,REGION : MULTI-STATE,,,,,,,,REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI),0,,CUCUMBERS,"CUCUMBERS, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS",TOTAL,NOT SPECIFIED,"9,300",65.7
SURVEY,2022,YEAR,,REGION : MULTI-STATE,,,,,,,,REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI),0,,MELONS,"MELONS, WATERMELON, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS",TOTAL,NOT SPECIFIED,"3,100",27.5
SURVEY,2022,YEAR,,REGION : MULTI-STATE,,,,,,,,REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI),0,,PUMPKINS,"PUMPKINS, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS",TOTAL,NOT SPECIFIED,"7,100",24.5
SURVEY,2022,YEAR,,REGION : MULTI-STATE,,,,,,,,REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI),0,,SQUASH,"SQUASH, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS",TOTAL,NOT SPECIFIED,"5,400",36.7
SURVEY,2022,YEAR,,REGION : MULTI-STATE,,,,,,,,REGION 2 (AL DE GA KY MD NC SC TN VA WV),0,,APPLES,"APPLES, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS",TOTAL,NOT SPECIFIED,"11,900",16.2
SURVEY,2022,YEAR,,REGION : MULTI-STATE,,,,,,,,REGION 2 (AL DE GA KY MD NC SC TN VA WV),0,,BLUEBERRIES,"BLUEBERRIES, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS",TOTAL,NOT SPECIFIED,"22,400",18.3
SURVEY,2022,YEAR,,REGION : MULTI-STATE,,,,,,,,REGION 2 (AL DE GA KY MD NC SC TN VA WV),0,,CROP TOTALS,"CROP TOTALS, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS",TOTAL,NOT SPECIFIED,"66,850",
SURVEY,2022,YEAR,,REGION : MULTI-STATE,,,,,,,,REGION 2 (AL DE GA KY MD NC SC TN VA WV),0,,"CROPS, OTHER","CROPS, OTHER, (NOT LISTED), HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS",TOTAL,NOT SPECIFIED,"8,800",
SURVEY,2022,YEAR,,REGION : MULTI-STATE,,,,,,,,REGION 2 (AL DE GA KY MD NC SC TN VA WV),0,,MELONS,"MELONS, CANTALOUP, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS",TOTAL,NOT SPECIFIED,"1,850",61.2
SURVEY,2022,YEAR,,REGION : MULTI-STATE,,,,,,,,REGION 2 (AL DE GA KY MD NC SC TN VA WV),0,,MELONS,"MELONS, WATERMELON, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS",TOTAL,NOT SPECIFIED,"16,900",16.2
SURVEY,2022,YEAR,,REGION : MULTI-STATE,,,,,,,,REGION 2 (AL DE GA KY MD NC SC TN VA WV),0,,PUMPKINS,"PUMPKINS, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS",TOTAL,NOT SPECIFIED,"1,850",62.9
SURVEY,2022,YEAR,,REGION : MULTI-STATE,,,,,,,,REGION 2 (AL DE GA KY MD NC SC TN VA WV),0,,SQUASH,"SQUASH, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS",TOTAL,NOT SPECIFIED,"3,150",40.5
SURVEY,2022,YEAR,,REGION : MULTI-STATE,,,,,,,,REGION 3 (AR FL LA MO MS NM OK TX),0,,BLUEBERRIES,"BLUEBERRIES, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS",TOTAL,NOT SPECIFIED,"4,200",33.7
SURVEY,2022,YEAR,,REGION : MULTI-STATE,,,,,,,,REGION 3 (AR FL LA MO MS NM OK TX),0,,CROP TOTALS,"CROP TOTALS, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS",TOTAL,NOT SPECIFIED,"55,100",
SURVEY,2022,YEAR,,REGION : MULTI-STATE,,,,,,,,REGION 3 (AR FL LA MO MS NM OK TX),0,,"CROPS, OTHER","CROPS, OTHER, (NOT LISTED), HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS",TOTAL,NOT SPECIFIED,"32,700",
SURVEY,2022,YEAR,,REGION : MULTI-STATE,,,,,,,,REGION 3 (AR FL LA MO MS NM OK TX),0,,MELONS,"MELONS, WATERMELON, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS",TOTAL,NOT SPECIFIED,"18,200",20.5
SURVEY,2022,YEAR,,REGION : MULTI-STATE,,,,,,,,REGION 4 (CO MN MT ND NV SD UT WY),0,,APPLES,"APPLES, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS",TOTAL,NOT SPECIFIED,"1,750",22.5
SURVEY,2022,YEAR,,REGION : MULTI-STATE,,,,,,,,REGION 4 (CO MN MT ND NV SD UT WY),0,,CHERRIES,"CHERRIES, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS",TOTAL,NOT SPECIFIED,"1,210",38.6
SURVEY,2022,YEAR,,REGION : MULTI-STATE,,,,,,,,REGION 4 (CO MN MT ND NV SD UT WY),0,,CROP TOTALS,"CROP TOTALS, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS",TOTAL,NOT SPECIFIED,"4,610",
SURVEY,2022,YEAR,,REGION : MULTI-STATE,,,,,,,,REGION 4 (CO MN MT ND NV SD UT WY),0,,"CROPS, OTHER","CROPS, OTHER, (NOT LISTED), HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS",TOTAL,NOT SPECIFIED,"1,650",
SURVEY,2022,YEAR,,REGION : MULTI-STATE,,,,,,,,REGION 5 (AK ID OR WA),0,,APPLES,"APPLES, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS",TOTAL,NOT SPECIFIED,"104,000",23.5
